Setup title,CVSweep4284_a
Application test name,CVSweep4284_a
Test date,12/10/2014
Test time,10:43:00
Device ID,
Count,4
Flags,
Remarks,
Name,Address,Osc_Level,Frequency,Integ_Time,Vstart,Vstop,Sweep_Pts,Cmax,Delay_Time,Hold_Time,Real_Time_Display
Value,17,0.02,1000000,2,-5,5,50,1E-10,0,0,1
Vsweep,Cdata,Dispersion
-5,7.47618E-12,0.114628
-4.79591836734694,7.26296E-12,0.0978824
-4.59183673469388,7.13307E-12,0.0759966
-4.38775510204082,7.06777E-12,0.0593853
-4.18367346938776,7.03957E-12,0.0492862
-3.97959183673469,7.02274E-12,0.044057
-3.77551020408163,7.01923E-12,0.0408094
-3.57142857142857,7.01895E-12,0.0396068
-3.36734693877551,7.0194E-12,0.0387215
-3.16326530612245,7.02438E-12,0.0383194
-2.95918367346939,7.02511E-12,0.0380957
-2.75510204081633,7.02562E-12,0.0380087
-2.55102040816327,7.02515E-12,0.037942
-2.3469387755102,7.02316E-12,0.0378887
-2.14285714285714,7.0214E-12,0.0381214
-1.93877551020408,7.02022E-12,0.0379893
-1.73469387755102,7.01854E-12,0.0380282
-1.53061224489796,7.01566E-12,0.0382057
-1.3265306122449,7.01458E-12,0.0382405
-1.12244897959184,7.01139E-12,0.0382969
-0.918367346938775,7.00897E-12,0.0383515
-0.714285714285714,7.00263E-12,0.0383246
-0.510204081632653,6.99528E-12,0.0382448
-0.306122448979592,6.98503E-12,0.0380801
-0.102040816326531,6.9699E-12,0.0380127
0.102040816326531,6.94955E-12,0.0377173
0.306122448979592,6.92205E-12,0.0371845
0.510204081632653,6.88394E-12,0.036948
0.714285714285714,6.83374E-12,0.0362293
0.918367346938775,6.76378E-12,0.0355504
1.12244897959184,6.67741E-12,0.0350384
1.3265306122449,6.57738E-12,0.0343203
1.53061224489796,6.47719E-12,0.03359
1.73469387755102,6.37889E-12,0.0333256
1.93877551020408,6.28474E-12,0.0338525
2.14285714285714,6.22437E-12,0.0385114
2.3469387755102,6.33591E-12,0.0607499
2.55102040816327,7.16922E-12,0.157765
2.75510204081633,8.75031E-12,0.266127
2.95918367346939,1.01589E-11,0.305256
3.16326530612245,1.1218E-11,0.314458
3.36734693877551,1.2061E-11,0.31167
3.57142857142857,1.27541E-11,0.302693
3.77551020408163,1.33305E-11,0.29056
3.9795918367347,1.38045E-11,0.277618
4.18367346938776,1.41931E-11,0.264858
4.38775510204082,1.45157E-11,0.252596
4.59183673469388,1.47817E-11,0.241688
4.79591836734694,1.50069E-11,0.231561
5,1.51961E-11,0.222355
