Setup title,CVSweep4284_a
Application test name,CVSweep4284_a
Test date,12/10/2014
Test time,10:40:08
Device ID,
Count,3
Flags,
Remarks,
Name,Address,Osc_Level,Frequency,Integ_Time,Vstart,Vstop,Sweep_Pts,Cmax,Delay_Time,Hold_Time,Real_Time_Display
Value,17,0.02,1000000,2,-5,5,50,1E-10,0,0,1
Vsweep,Cdata,Dispersion
-5,1.01526E-11,0.192249
-4.79591836734694,1.00509E-11,0.19882
-4.59183673469388,9.8789E-12,0.206624
-4.38775510204082,9.63304E-12,0.21255
-4.18367346938776,9.34313E-12,0.21403
-3.97959183673469,9.04848E-12,0.208025
-3.77551020408163,8.80711E-12,0.194233
-3.57142857142857,8.63969E-12,0.178614
-3.36734693877551,8.53495E-12,0.166105
-3.16326530612245,8.46759E-12,0.156444
-2.95918367346939,8.43009E-12,0.150961
-2.75510204081633,8.39981E-12,0.146974
-2.55102040816327,8.38373E-12,0.144429
-2.3469387755102,8.3718E-12,0.143442
-2.14285714285714,8.36803E-12,0.14267
-1.93877551020408,8.35686E-12,0.141835
-1.73469387755102,8.34913E-12,0.141714
-1.53061224489796,8.34161E-12,0.141068
-1.3265306122449,8.33445E-12,0.140892
-1.12244897959184,8.32299E-12,0.139766
-0.918367346938775,8.31412E-12,0.13965
-0.714285714285714,8.30506E-12,0.139451
-0.510204081632653,8.28412E-12,0.138776
-0.306122448979592,8.27164E-12,0.138351
-0.102040816326531,8.25142E-12,0.138091
0.102040816326531,8.22573E-12,0.137316
0.306122448979592,8.19155E-12,0.13666
0.510204081632653,8.14549E-12,0.135592
0.714285714285714,8.05822E-12,0.135086
0.918367346938775,8.00093E-12,0.132216
1.12244897959184,7.89188E-12,0.130575
1.3265306122449,7.75499E-12,0.127319
1.53061224489796,7.61023E-12,0.124051
1.73469387755102,7.48418E-12,0.121196
1.93877551020408,7.50362E-12,0.121529
2.14285714285714,8.29692E-12,0.145846
2.3469387755102,9.55679E-12,0.275331
2.55102040816327,1.08211E-11,0.313222
2.75510204081633,1.19285E-11,0.304557
2.95918367346939,1.27609E-11,0.288876
3.16326530612245,1.33758E-11,0.274113
3.36734693877551,1.38506E-11,0.260819
3.57142857142857,1.42387E-11,0.248048
3.77551020408163,1.45567E-11,0.2366
3.9795918367347,1.48139E-11,0.226449
4.18367346938776,1.50285E-11,0.217181
4.38775510204082,1.52132E-11,0.208901
4.59183673469388,1.53677E-11,0.201487
4.79591836734694,1.55038E-11,0.194623
5,1.56164E-11,0.188688
