Setup title,CVSweep4284_a
Application test name,CVSweep4284_a
Test date,12/4/2014
Test time,18:01:49
Device ID,
Count,5
Flags,
Remarks,
Name,Address,Osc_Level,Frequency,Integ_Time,Vstart,Vstop,Sweep_Pts,Cmax,Delay_Time,Hold_Time,Real_Time_Display
Value,17,0.02,1000000,2,-10,10,51,1E-10,0,0,1
Vsweep,Cdata,Dispersion
-10,-9.27638E-15,-3.86037
-9.6,1.49259E-14,-2.31786
-9.2,2.9588E-14,-1.14023
-8.8,4.10791E-14,-0.75391
-8.4,4.89491E-14,-0.56706
-8,5.59041E-14,-0.460923
-7.6,6.21131E-14,-0.383254
-7.2,6.69791E-14,-0.331186
-6.8,6.95793E-14,-0.279298
-6.4,7.32149E-14,-0.251622
-6,7.56454E-14,-0.212486
-5.6,7.77751E-14,-0.17658
-5.2,7.9241E-14,-0.141312
-4.8,8.04638E-14,-0.1176
-4.4,8.06991E-14,-0.0750544
-4,7.99257E-14,-0.045974
-3.6,7.81192E-14,-0.0250857
-3.2,7.64269E-14,0.00749093
-2.8,7.42541E-14,0.0263281
-2.4,7.07075E-14,0.0565915
-2,6.63703E-14,0.10327
-1.6,6.01417E-14,0.123573
-1.2,5.20266E-14,0.153012
-0.799999999999999,4.23963E-14,0.204613
-0.399999999999999,3.03525E-14,0.154617
0,1.62942E-14,-0.117873
0.4,5.84452E-16,-24.8957
0.800000000000001,-1.22315E-14,-2.77871
1.2,-1.37508E-14,-3.68841
1.6,8.36586E-16,-71.5482
2,2.83793E-14,-2.2774
2.4,6.13543E-14,-1.04068
2.8,9.21064E-14,-0.704003
3.2,1.30855E-13,-0.491866
3.6,1.7158E-13,-0.374148
4,2.09307E-13,-0.30261
4.4,2.39746E-13,-0.26519
4.8,2.64688E-13,-0.238708
5.2,2.83099E-13,-0.224259
5.6,2.98578E-13,-0.213859
6,3.0986E-13,-0.204513
6.4,3.19519E-13,-0.197936
6.8,3.27144E-13,-0.19231
7.2,3.32998E-13,-0.186552
7.6,3.37286E-13,-0.184675
8,3.43956E-13,-0.181236
8.4,3.45054E-13,-0.178109
8.8,3.48594E-13,-0.177792
9.2,3.53878E-13,-0.176543
9.6,3.55207E-13,-0.174123
10,3.60954E-13,-0.171488
