Setup title,"I/V Sweep"
Classic test name,"I/V Sweep"
Test date,11/20/2014
Test time,16:36:16
Device ID,
Count,24
Flags,
Remarks,
Context.MainFrame,4155B
Channel.UnitType,SMU,SMU,SMU,SMU
Channel.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Channel.IName,I1,I2,I3,I4
Channel.VName,V1,V2,V3,V4
Channel.Mode,V,V,V,COMMON
Channel.Func,VAR1,CONST,CONST,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Port.SeriesResistor,NONE,NONE,NONE,NONE
Measurement.Port.Filter,ON,ON,ON,ON
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-40
Measurement.Primary.Stop,40
Measurement.Primary.Step,0.08
Measurement.Primary.Compliance,0.05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-40,-40,0,0
Measurement.Bias.Compliance,0.05,0.05,0.05,0.1
Measurement.Monitor.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Monitor.Adc,"HR ADC","HR ADC","HR ADC","HR ADC"
Measurement.Monitor.RangingMode,LIMITED,LIMITED,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE","BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,AUTO
Measurement.Adc.HighResolution.Coeff,1
Measurement.Ag16440ASelector.SemiconductorRelay.Channel1,DEFAULT
Measurement.Ag16440ASelector.SemiconductorRelay.Channel3,DEFAULT
Function.User.Name,VA,IS1
Function.User.Unit,V,A
Function.User.Definition,V1-V2,I1-I2
Output.Graph.Enabled,true
Output.Graph.XAxis.Data,VA
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,0
Output.Graph.XAxis.Right,4
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,0.05
Output.Graph.YAxis.Group,
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VA,I1
0,1.94876E-05
0.0799999999999983,2.3512E-05
0.159999999999997,2.72715E-05
0.240000000000002,3.07353E-05
0.32,3.37931E-05
0.399999999999999,3.6565E-05
0.479999999999997,3.89694E-05
0.560000000000002,4.10246E-05
0.640000000000001,4.277E-05
0.719999999999999,4.42389E-05
0.799999999999997,4.55165E-05
0.880000000000003,4.66249E-05
0.960000000000001,4.75336E-05
1.04,4.82956E-05
1.12,4.89212E-05
1.2,4.94693E-05
1.28,4.99373E-05
1.36,5.03502E-05
1.44,5.06906E-05
1.52,5.09836E-05
1.6,5.12235E-05
1.68,5.14564E-05
1.76,5.16258E-05
1.84,5.18003E-05
1.92,5.19524E-05
2,5.21082E-05
2.08,5.22543E-05
2.16,5.23481E-05
2.24,5.24246E-05
2.32,5.25222E-05
2.4,5.25642E-05
2.48,5.26532E-05
2.56,5.27008E-05
2.64,5.27738E-05
2.72,5.28023E-05
2.8,5.28637E-05
2.88,5.29231E-05
2.96,5.29591E-05
3.04,5.30055E-05
3.12,5.30227E-05
3.2,5.30617E-05
3.28,5.30761E-05
3.36,5.31007E-05
3.44,5.31201E-05
3.52,5.31347E-05
3.6,5.315E-05
3.68,5.31633E-05
3.76,5.31688E-05
3.84,5.31963E-05
3.92,5.31991E-05
4,5.3229E-05
4.08,5.30756E-05
4.16,5.30353E-05
4.24,5.30736E-05
4.32,5.30895E-05
4.4,5.31665E-05
4.48,5.31909E-05
4.56,5.32171E-05
4.64,5.32362E-05
4.72,5.32289E-05
4.8,5.3272E-05
4.88,5.32714E-05
4.96,5.33102E-05
5.04,5.33006E-05
5.12,5.33082E-05
5.2,5.33092E-05
5.28,5.32937E-05
5.36,5.32855E-05
5.44,5.32997E-05
5.52,5.32978E-05
5.6,5.33233E-05
5.68,5.33222E-05
5.76,5.33325E-05
5.84,5.33133E-05
5.92,5.33152E-05
6,5.32939E-05
6.08,5.33018E-05
6.16,5.3312E-05
6.24,5.32897E-05
6.32,5.33239E-05
6.4,5.33147E-05
6.48,5.33489E-05
6.56,5.33403E-05
6.64,5.33649E-05
6.72,5.33658E-05
6.8,5.33603E-05
6.88,5.33582E-05
6.96,5.33425E-05
7.04,5.3359E-05
7.12,5.33822E-05
7.2,5.33775E-05
7.28,5.35004E-05
7.36,5.3505E-05
7.44,5.26757E-05
7.52,5.24775E-05
7.6,5.27797E-05
7.68,5.30926E-05
7.76,5.34527E-05
7.84,5.34726E-05
7.92,5.35995E-05
8,5.35565E-05
8.08,5.35218E-05
8.16,5.35025E-05
8.24,5.34523E-05
8.32,5.34613E-05
8.4,5.34364E-05
8.48,5.34557E-05
8.56,5.34488E-05
8.64,5.3413E-05
8.72,5.34034E-05
8.8,5.33697E-05
8.88,5.3393E-05
8.96,5.3407E-05
9.04,5.34482E-05
9.12,5.34563E-05
9.2,5.34598E-05
9.28,5.34525E-05
9.36,5.34422E-05
9.44,5.34447E-05
9.52,5.34436E-05
9.6,5.34532E-05
9.68,5.34728E-05
9.76,5.34746E-05
9.84,5.34893E-05
9.92,5.34739E-05
10,5.34778E-05
10.08,5.34908E-05
10.16,5.34827E-05
10.24,5.34917E-05
10.32,5.34652E-05
10.4,5.3483E-05
10.48,5.34842E-05
10.56,5.3465E-05
10.64,5.34863E-05
10.72,5.34868E-05
10.8,5.35077E-05
10.88,5.35259E-05
10.96,5.35135E-05
11.04,5.35286E-05
11.12,5.34936E-05
11.2,5.3501E-05
11.28,5.35039E-05
11.36,5.35164E-05
11.44,5.35242E-05
11.52,5.3512E-05
11.6,5.3514E-05
11.68,5.35235E-05
11.76,5.35353E-05
11.84,5.35356E-05
11.92,5.35109E-05
12,5.3506E-05
12.08,5.35186E-05
12.16,5.35289E-05
12.24,5.35534E-05
12.32,5.35724E-05
12.4,5.3571E-05
12.48,5.35717E-05
12.56,5.35544E-05
12.64,5.35635E-05
12.72,5.35449E-05
12.8,5.35874E-05
12.88,5.35667E-05
12.96,5.35879E-05
13.04,5.35978E-05
13.12,5.36213E-05
13.2,5.36401E-05
13.28,5.36388E-05
13.36,5.36328E-05
13.44,5.36085E-05
13.52,5.36204E-05
13.6,5.36382E-05
13.68,5.3629E-05
13.76,5.36145E-05
13.84,5.3606E-05
13.92,5.36355E-05
14,5.36649E-05
14.08,5.36496E-05
14.16,5.36564E-05
14.24,5.3646E-05
