Setup title,"I/V Sweep"
Classic test name,"I/V Sweep"
Test date,11/20/2014
Test time,16:35:11
Device ID,
Count,23
Flags,
Remarks,
Context.MainFrame,4155B
Channel.UnitType,SMU,SMU,SMU,SMU
Channel.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Channel.IName,I1,I2,I3,I4
Channel.VName,V1,V2,V3,V4
Channel.Mode,V,V,V,COMMON
Channel.Func,VAR1,CONST,CONST,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Port.SeriesResistor,NONE,NONE,NONE,NONE
Measurement.Port.Filter,ON,ON,ON,ON
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-40
Measurement.Primary.Stop,40
Measurement.Primary.Step,0.08
Measurement.Primary.Compliance,0.05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-40,-40,0,0
Measurement.Bias.Compliance,0.05,0.05,0.05,0.1
Measurement.Monitor.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Monitor.Adc,"HR ADC","HR ADC","HR ADC","HR ADC"
Measurement.Monitor.RangingMode,LIMITED,LIMITED,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE","BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,AUTO
Measurement.Adc.HighResolution.Coeff,1
Measurement.Ag16440ASelector.SemiconductorRelay.Channel1,DEFAULT
Measurement.Ag16440ASelector.SemiconductorRelay.Channel3,DEFAULT
Function.User.Name,VA,IS1
Function.User.Unit,V,A
Function.User.Definition,V1-V2,I1-I2
Output.Graph.Enabled,true
Output.Graph.XAxis.Data,VA
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-2
Output.Graph.XAxis.Right,2
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.05
Output.Graph.YAxis.Top,0.05
Output.Graph.YAxis.Group,
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VA,I1
0,1.89278E-05
0.0799999999999983,2.2795E-05
0.159999999999997,2.64086E-05
0.240000000000002,2.97576E-05
0.32,3.27118E-05
0.399999999999999,3.54142E-05
0.479999999999997,3.77708E-05
0.560000000000002,3.97906E-05
0.640000000000001,4.1572E-05
0.719999999999999,4.30229E-05
0.799999999999997,4.43224E-05
0.880000000000003,4.54225E-05
0.960000000000001,4.63403E-05
1.04,4.71349E-05
1.12,4.77881E-05
1.2,4.8359E-05
1.28,4.88221E-05
1.36,4.92036E-05
1.44,4.95573E-05
1.52,4.98267E-05
1.6,5.0098E-05
1.68,5.03086E-05
1.76,5.04986E-05
1.84,5.06677E-05
1.92,5.08145E-05
2,5.09609E-05
2.08,5.10801E-05
2.16,5.11856E-05
2.24,5.1272E-05
2.32,5.13644E-05
2.4,5.14289E-05
2.48,5.14731E-05
2.56,5.15245E-05
2.64,5.15755E-05
2.72,5.16323E-05
2.8,5.16783E-05
2.88,5.17071E-05
2.96,5.1737E-05
3.04,5.17624E-05
3.12,5.18094E-05
3.2,5.18392E-05
3.28,5.18502E-05
3.36,5.18531E-05
3.44,5.18588E-05
3.52,5.18725E-05
3.6,5.18612E-05
3.68,5.18908E-05
3.76,5.19011E-05
3.84,5.19317E-05
3.92,5.19062E-05
4,5.1939E-05
4.08,5.19259E-05
4.16,5.19166E-05
4.24,5.1951E-05
4.32,5.19309E-05
4.4,5.19567E-05
4.48,5.19466E-05
4.56,5.19667E-05
4.64,5.19813E-05
4.72,5.19758E-05
4.8,5.19779E-05
4.88,5.1968E-05
4.96,5.19828E-05
5.04,5.19922E-05
5.12,5.19904E-05
5.2,5.19873E-05
5.28,5.19936E-05
5.36,5.2032E-05
5.44,5.20187E-05
5.52,5.20405E-05
5.6,5.20683E-05
5.68,5.20695E-05
5.76,5.20814E-05
5.84,5.20679E-05
5.92,5.20842E-05
6,5.20966E-05
6.08,5.20859E-05
6.16,5.21081E-05
6.24,5.20772E-05
6.32,5.21019E-05
6.4,5.21231E-05
6.48,5.21079E-05
6.56,5.21289E-05
6.64,5.21226E-05
6.72,5.21262E-05
6.8,5.21369E-05
6.88,5.2139E-05
6.96,5.21607E-05
7.04,5.21533E-05
7.12,5.21499E-05
7.2,5.21773E-05
7.28,5.21871E-05
7.36,5.21842E-05
7.44,5.22124E-05
7.52,5.21912E-05
7.6,5.22103E-05
7.68,5.21914E-05
7.76,5.2176E-05
7.84,5.21813E-05
7.92,5.21758E-05
8,5.22043E-05
8.08,5.2208E-05
8.16,5.22229E-05
8.24,5.22456E-05
8.32,5.22303E-05
8.4,5.22608E-05
8.48,5.22341E-05
8.56,5.22663E-05
8.64,5.22652E-05
8.72,5.22501E-05
8.8,5.2277E-05
8.88,5.22595E-05
8.96,5.22865E-05
9.04,5.22934E-05
9.12,5.22966E-05
9.2,5.22952E-05
9.28,5.22743E-05
9.36,5.23052E-05
9.44,5.22804E-05
9.52,5.23045E-05
9.6,5.22961E-05
9.68,5.23107E-05
9.76,5.23334E-05
9.84,5.23192E-05
9.92,5.23467E-05
10,5.23294E-05
10.08,5.23481E-05
10.16,5.23406E-05
10.24,5.23428E-05
10.32,5.23417E-05
10.4,5.23322E-05
10.48,5.2357E-05
10.56,5.23526E-05
10.64,5.23671E-05
10.72,5.23769E-05
10.8,5.23723E-05
10.88,5.23697E-05
10.96,5.2347E-05
11.04,5.2381E-05
11.12,5.2394E-05
11.2,5.23655E-05
11.28,5.23946E-05
11.36,5.23951E-05
11.44,5.24033E-05
11.52,5.24244E-05
11.6,5.24258E-05
11.68,5.24453E-05
11.76,5.24363E-05
11.84,5.24531E-05
11.92,5.24682E-05
12,5.24746E-05
12.08,5.24521E-05
12.16,5.24531E-05
12.24,5.24504E-05
12.32,5.24619E-05
12.4,5.24565E-05
12.48,5.24683E-05
12.56,5.24964E-05
12.64,5.25141E-05
12.72,5.25386E-05
12.8,5.25331E-05
12.88,5.2538E-05
12.96,5.25434E-05
13.04,5.25457E-05
13.12,5.25448E-05
13.2,5.25449E-05
13.28,5.25485E-05
13.36,5.2544E-05
13.44,5.25362E-05
13.52,5.25681E-05
13.6,5.25588E-05
13.68,5.25839E-05
13.76,5.25835E-05
13.84,5.25765E-05
13.92,5.25993E-05
14,5.25743E-05
14.08,5.25836E-05
14.16,5.25691E-05
14.24,5.25993E-05
