Setup title,"mosfet 14 meas"
-3.845,0.028518
-3.83,0.028516
-3.815,0.028514
-3.8,0.028512
-3.785,0.028508
-3.77,0.028506
-3.755,0.0285
-3.74,0.0285
-3.725,0.028496
-3.71,0.028496
-3.695,0.028492
-3.68,0.02849
-3.665,0.028486
-3.65,0.028484
-3.635,0.02848
-3.62,0.028478
-3.605,0.028474
-3.59,0.02847
-3.575,0.028468
-3.56,0.028464
-3.545,0.028462
-3.53,0.02846
-3.515,0.028458
-3.5,0.028458
-3.485,0.028454
-3.47,0.028446
-3.455,0.028446
-3.44,0.028442
-3.425,0.028436
-3.41,0.028434
-3.395,0.028434
-3.38,0.028428
-3.365,0.028424
-3.35,0.028422
-3.335,0.028418
-3.32,0.028414
-3.305,0.028408
-3.29,0.028404
-3.275,0.028402
-3.26,0.028394
-3.245,0.028392
-3.23,0.028386
-3.215,0.028382
-3.2,0.028378
-3.185,0.028374
-3.17,0.02837
-3.155,0.028364
-3.14,0.028362
-3.125,0.028356
-3.11,0.02835
-3.095,0.028346
-3.08,0.028342
-3.065,0.028334
-3.05,0.02833
-3.035,0.028324
-3.02,0.028322
-3.005,0.028314
-2.99,0.028308
-2.975,0.028302
-2.96,0.028296
-2.945,0.028288
-2.93,0.02828
-2.915,0.028274
-2.9,0.028268
-2.885,0.028264
-2.87,0.028256
-2.855,0.02825
-2.84,0.02824
-2.825,0.028232
-2.81,0.028222
-2.795,0.028214
-2.78,0.028208
-2.765,0.028196
-2.75,0.028186
-2.735,0.02818
-2.72,0.028166
-2.705,0.028158
-2.69,0.028148
-2.675,0.028138
-2.66,0.028128
-2.645,0.028118
-2.63,0.02811
-2.615,0.028094
-2.6,0.028086
-2.585,0.028074
-2.57,0.028062
-2.555,0.028048
-2.54,0.028036
-2.525,0.028024
-2.51,0.028006
-2.495,0.027992
-2.48,0.02798
-2.465,0.027964
-2.45,0.027948
-2.435,0.02793
-2.42,0.027918
-2.405,0.027896
-2.39,0.02788
-2.375,0.027862
-2.36,0.027842
-2.345,0.02782
-2.33,0.027804
-2.315,0.02778
-2.3,0.027758
-2.285,0.027736
-2.27,0.027714
-2.255,0.027684
-2.24,0.027656
-2.225,0.027634
-2.21,0.027604
-2.195,0.027578
-2.18,0.027546
-2.165,0.027518
-2.15,0.027488
-2.135,0.027454
-2.12,0.02742
-2.105,0.027386
-2.09,0.02735
-2.075,0.027316
-2.06,0.027278
-2.045,0.027234
-2.03,0.027198
-2.015,0.027158
-2,0.027112
-1.985,0.02707
-1.97,0.027026
-1.955,0.02698
-1.94,0.026936
-1.925,0.026886
-1.91,0.026836
-1.895,0.026786
-1.88,0.02674
-1.865,0.026686
-1.85,0.026632
-1.835,0.026576
-1.82,0.026526
-1.805,0.02647
-1.79,0.026412
-1.775,0.026356
-1.76,0.0263
-1.745,0.02624
-1.73,0.026178
-1.715,0.02612
-1.7,0.026062
-1.685,0.026004
-1.67,0.025942
-1.655,0.025882
-1.64,0.025822
-1.625,0.025762
-1.61,0.0257
-1.595,0.025636
-1.58,0.02557
-1.565,0.025512
-1.55,0.025446
-1.535,0.025386
-1.52,0.025322
-1.505,0.02526
-1.49,0.025196
-1.475,0.02513
-1.46,0.025068
-1.445,0.025006
-1.43,0.02494
-1.415,0.024878
-1.4,0.024812
-1.385,0.024752
-1.37,0.024688
-1.355,0.024626
-1.34,0.02456
-1.325,0.0245
-1.31,0.024434
-1.295,0.02437
-1.28,0.024304
-1.265,0.02424
-1.25,0.024182
-1.235,0.024116
-1.22,0.024052
-1.205,0.023988
-1.19,0.023928
-1.175,0.023864
-1.16,0.023802
-1.145,0.023738
-1.13,0.023682
-1.115,0.023616
-1.1,0.023552
-1.085,0.02349
-1.07,0.023428
-1.055,0.023368
-1.04,0.023302
-1.025,0.02324
-1.01,0.023176
-0.995,0.023118
-0.98,0.023056
-0.965,0.022994
-0.95,0.022934
-0.935,0.022874
-0.92,0.022812
-0.905,0.022752
-0.89,0.02269
-0.875,0.022634
-0.86,0.02257
