  Y (microns)    log10(active(boron))    Material
    -0.05108    1.43581e+01    oxide       
     0.03856    1.56913e+01    oxide       
     0.03856    1.54169e+01    silicon     
     0.10000    1.54616e+01    silicon     
     0.14884    1.55084e+01    silicon     
     0.26620    1.55950e+01    silicon     
     0.37611    1.56560e+01    silicon     
     0.50528    1.57055e+01    silicon     
     0.60633    1.57291e+01    silicon     
     0.72040    1.57416e+01    silicon     
     0.84917    1.57397e+01    silicon     
     0.99453    1.57193e+01    silicon     
     1.15862    1.56752e+01    silicon     
     1.34385    1.56009e+01    silicon     
     1.55294    1.54879e+01    silicon     
     1.78898    1.53258e+01    silicon     
     2.05542    1.51024e+01    silicon     
     2.35619    1.48045e+01    silicon     
     2.69571    1.44191e+01    silicon     
     3.07897    1.39350e+01    silicon     
     3.51162    1.33443e+01    silicon     
     4.00000    1.26484e+01    silicon     
     4.50615    1.18433e+01    silicon     
     5.26537    1.07069e+01    silicon     
     6.40420    9.21229e+00    silicon     
     8.11245    7.36138e+00    silicon     
    10.67482    5.39450e+00    silicon     
    14.51837    5.00203e+00    silicon     
    20.28371    5.00000e+00    silicon     
    28.93171    5.00000e+00    silicon     
    41.90371    5.00000e+00    silicon     
    61.36171    5.00000e+00    silicon     
    90.54872    5.00000e+00    silicon     
   134.32922    5.00000e+00    silicon     
   200.00000    5.00000e+00    silicon 
