  Y (microns)    log10(active(boron))    Material
     0.00000    1.56791e+01    silicon     
     0.05000    1.61371e+01    silicon     
     0.10000    1.66326e+01    silicon     
     0.14884    1.70876e+01    silicon     
     0.20397    1.73392e+01    silicon     
     0.26620    1.69903e+01    silicon     
     0.33645    1.61613e+01    silicon     
     0.37611    1.56962e+01    silicon     
     0.41576    1.52737e+01    silicon     
     0.50528    1.44766e+01    silicon     
     0.60633    1.37769e+01    silicon     
     0.72040    1.31554e+01    silicon     
     0.84917    1.25939e+01    silicon     
     0.99453    1.20783e+01    silicon     
     1.15862    1.15986e+01    silicon     
     1.34385    1.11471e+01    silicon     
     1.55294    1.07183e+01    silicon     
     1.78898    1.03080e+01    silicon     
     2.05542    9.91288e+00    silicon     
     2.35619    9.53039e+00    silicon     
     2.69571    9.15849e+00    silicon     
     3.07897    8.79554e+00    silicon     
     3.51162    8.44023e+00    silicon     
     4.00000    8.09149e+00    silicon     
     4.50615    7.77492e+00    silicon     
     5.26537    7.36477e+00    silicon     
     6.40420    6.85573e+00    silicon     
     8.11245    5.00000e+00    silicon     
    10.67482    5.00000e+00    silicon     
    14.51837    5.00000e+00    silicon     
    20.28371    5.00000e+00    silicon     
    28.93171    5.00000e+00    silicon     
    41.90371    5.00000e+00    silicon     
    61.36171    5.00000e+00    silicon     
    90.54872    5.00000e+00    silicon     
   134.32922    5.00000e+00    silicon     
   200.00000    5.00000e+00    silicon 
